HeatFlux,South,North
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
271.8,40.55,16.66
264,36.19,16.46
238.8,37.31,17.66
230.7,32.52,17.5
251.6,33.71,16.4
257.9,34.14,16.28
263.9,34.85,16.06
266.5,35.89,15.93
229.1,33.53,16.6
239.3,33.79,16.41
258,34.72,16.17
257.6,35.22,15.92
267.3,36.5,16.04
267,37.6,16.19
259.6,37.89,16.62
240.4,37.71,17.37
227.2,37,18.12
196,36.76,18.53
278.7,34.62,15.54
272.3,35.4,15.7
267.4,35.96,16.45
254.5,36.26,17.62
224.7,36.34,18.12
181.5,35.9,19.05
227.5,31.84,16.51
253.6,33.16,16.02
263,33.83,15.89
265.8,34.89,15.83
263.8,36.27,16.71
